As,Qz,S-I,S-II,Grade
11.68,7.5,6.56,2.34,Pass
11.06,9.06,4.68,4.12,Pass
12.75,6.2,3.56,2.43,Fail
6.25,2.26,6.93,3.37,Fail
13.98,10,10.68,6.56,Pass
8.8,7.73,3.93,1.5,Fail
13.95,9.69,8.53,5.15,Pass
6.13,2.4,2.43,1.87,Fail
13.25,6.83,5.25,9.09,Pass
10.48,5,3.37,1.78,Fail
10.48,9.19,5.53,6.56,Pass
12.96,5.13,5.81,2.34,Pass
10.93,4.83,6.93,6.09,Pass
12.13,6.6,5.25,2.15,Pass
12.44,6.4,5.62,1.87,Pass
13.49,8.13,5.81,5.25,Pass
12.05,8.4,8.06,11.06,Pass
10.38,8.69,7.12,6.93,Pass
13.79,9.6,11.06,7.21,Pass
10.69,4.59,5.43,4.12,Pass
10.8,7.9,8.06,6.37,Pass
12.6,9.9,10.96,8.15,Pass
13.27,7.6,7.12,6.93,Pass
4.8,2.4,4.68,0.75,Fail
10.87,7.9,7.31,5.53,Pass
8.7,5.86,4.5,4.96,Fail
11.41,7.53,5.06,2.43,Pass
8.76,5.09,4.31,1.59,Fail
13.22,7.73,4.4,4.31,Pass
11.03,5.46,6.56,2.9,Fail
9.53,5.13,3.37,1.59,Fail
9.4,7.1,5.25,1.5,Fail
13.87,6.2,8.06,4.31,Pass
8.16,3.2,4.4,1.4,Fail
